3.856585379040073924e-01,5.351754694991402994e-01,1.996662169755187843e-01,7.377725030324139288e-02,3.666801483456029187e-01,4.996823898520724172e-01,2.110554852119165825e-01,2.449334108068080273e-01,2.622780048530978236e-01,6.022764857929832072e-01
9.514731966292330756e-02,1.294043773131871577e-01,8.991958657245700814e-02,3.265267633771820610e-02,1.573675014720547494e-01,9.451923654061178404e-02,1.143730046937586342e-01,1.151719114582300113e-01,1.376583739073178603e-01,1.455203221187036378e-01
6.028429287128803660e-01,8.293342880499241510e-01,4.237900936240305838e-01,1.550181242605279119e-01,7.569425099418130021e-01,7.020841582570038764e-01,5.010430902151228327e-01,5.332359060430732489e-01,6.103594762639292792e-01,9.330180720791453330e-01
5.130125174809323507e-01,7.064669271007310014e-01,3.496240535466597077e-01,1.280032520851061284e-01,6.260224302694196163e-01,6.052579765590342387e-01,4.095012055092778214e-01,4.389450925550896776e-01,4.996431410358523340e-01,7.948195495115060183e-01
2.125455601457292842e-01,2.976786115900605934e-01,6.783800106305042099e-02,2.566096219375577081e-02,1.326437529863555842e-01,3.052380087898071137e-01,5.164967196381289177e-02,7.816683497430405858e-02,6.882730048020418989e-02,3.351150395190865550e-01
3.152698287959822543e-01,4.218926834293986183e-01,4.043943120867165009e-01,1.460268729058768755e-01,6.965878036976501653e-01,2.378960898595353646e-01,5.420837161044571584e-01,5.249406152071682818e-01,6.471164389013076557e-01,4.741439193147282127e-01
7.498539989118372384e-01,1.034121320313682979e+00,4.878336749872465017e-01,1.788524508824147208e-01,8.768616130072521830e-01,9.010966874902972545e-01,5.630041237919520825e-01,6.103547149060403187e-01,6.886857909334519467e-01,1.163513913912150866e+00
3.815805334540102733e-01,5.348381450363165479e-01,1.153093464430966081e-01,4.376595207832122136e-02,2.274722396996864404e-01,5.525732622894334867e-01,8.279753263756578496e-02,1.316081188041739181e-01,1.119394583016652678e-01,6.021172500620298740e-01
4.997795852950561724e-01,6.897788417554676643e-01,3.168838322232329641e-01,1.162704140635480859e-01,5.708414978247323690e-01,6.064247178807301575e-01,3.625889691033574169e-01,3.956836656675182806e-01,4.441933209587073383e-01,7.761084615712827706e-01
3.028592794152921708e-01,4.146932352119578336e-01,2.430722850218288711e-01,8.860035445323277692e-02,4.299138870126456013e-01,3.313790043513129002e-01,2.979411389358143647e-01,3.085058534808636788e-01,3.607602336943996901e-01,4.664568515898596113e-01
